,brewery_id,latitude,longitude,name,address1,city,state,code,country,phone,website
7,8,41.2225,-77.0369,Abbey Wright Brewing/Valley Inn,204 Valley Street,Williamsport,Pennsylvania,17702,United States,570.326.3383,http://www.valleyinnonline.com/
8,9,41.4392,-87.1078,Aberdeen Brewing,210 Aberdeen Dr.,Valparaiso,Indiana,,United States,(219) 548-3300,
23,26,47.7237,10.3141,Allentown Brew Works,814 W Hamilton St,Allentown,Pennsylvania,18101,United States,610.433.7777,http://www.thebrewworks.com/allentown-brewworks/
43,47,42.321999999999996,-85.1851,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania,17110,United States,717.221.1080,http://www.abcbrew.com
45,51,35.6221,-82.5536,Arcadia Brewing,103 West Michigan Avenue,Battle Creek,Michigan,49017,United States,1-269-963-9690,http://www.arcadiaales.com/
54,1394,35.6197,-78.8085,Atwater Block Brewing,237 Joseph Campau Street,Detroit,Michigan,48207,United States,1-313-877-9205,http://www.atwaterbeer.com
59,69,39.42,-76.54,Back Road Brewery,310 Perry Street,LaPorte,Indiana,46350,United States,1-219-362-7623,http://www.backroadbrewery.com/
62,72,44.3875,-68.2046,Bad Frog Brewery Company,,Rose City,Michigan,,United States,,
72,82,47.5203,-122.31200000000001,Barley Creek Brewing,RR 1 Box 185,Tannersville,Pennsylvania,18372,United States,1-570-629-9399,http://www.barleycreek.com/
73,83,39.1136,-84.52600000000001,Barley Island Brewing,639 Conner Street,Noblesville,Indiana,46060,United States,1-317-770-5280,
75,85,52.8046,-1.6281,Barley's #2 Smokehouse and Brewpub,1130 Dublin Road,Columbus,Ohio,43215,United States,1-614-485-0227,
76,86,10.9639,-74.7964,Barley's Brewing #1,467 North High Street,Columbus,Ohio,43215,United States,1-614-228-2537,
79,88,48.3952,11.7288,Barrel House Brewing Co.,544B W. Liberty St.,Cincinnati,Ohio,45214,United States,513-421-2337,http://www.barrelhouse.com
83,92,37.7694,-122.51,Bavarian Barbarian Brewing Company,429 W. 3rd St,Williamsport,Pennsylvania,17701,United States,570.332.5050,http://www.bavarianbarbarian.com
96,107,40.1106,-88.2073,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan,49053,United States,269.382.2338,http://www.bellsbeer.com/
102,113,35.8104,-78.6179,Bethlehem Brew Works,569 Main St,Bethlehem,Pennsylvania,18018,United States,610.882.1300,http://www.thebrewworks.com/bethlehem-brew-works
110,121,50.9847,-113.956,Big Buck Brewery,550 South Wisconsin Avenue,Gaylord,Michigan,49735,United States,,http://www.bigbuck.com/gaylord.html
111,122,46.9223,-114.073,Big Buck Brewery and Steakhouse #2,,Grand Rapids,Michigan,,United States,,
136,149,35.1584,-114.573,Bloomington Brewing Company,"1795 E 10th St,",Bloomington,Indiana,47402,United States,812.323-2112,http://bbc.bloomington.com
147,161,39.0821,-94.5965,Bonfire Brewery,,Northville,Michigan,,United States,,
233,255,45.5311,-122.685,Brew Kettle Taproom & Smokehouse BOP,8377 Pearl Road,Strongsville,Ohio,44136,United States,1-440-239-8788,
252,274,50.9098,4.2505,Broad Ripple Brewing,842 East 65th Street,Indianapolis,Indiana,46220,United States,1-317-253-2739,
307,338,43.0949,-89.5163,Bube's Brewery,102 North Market Street,Mount Joy,Pennsylvania,17552,United States,717) 653-2056,http://www.bubesbrewery.com
312,343,52.7196,-6.846,Bullfrog Brewery,231 W. Fourth Street,Williamsport,Pennsylvania,17701,United States,570.326.4700,http://www.bullfrogbrewery.com
371,409,40.2795,-75.2143,Circle V Brewing,,Indianapolis,Indiana,,United States,,
374,412,40.8069,-96.6817,Cleveland ChopHouse and Brewery,824 West St.Clair Avenue,Cleveland,Ohio,44113,United States,1-216-623-0909,
393,431,51.0811,3.3699,Copper Kettle Brewery,339 Fairground Rd,Millmont,Pennsylvania,17845,United States,270-342-1638,http://www.ckbrewery.com/
400,438,38.2362,-122.64,Crabby Larry's Brewpub Steak & Crab House,237 West Butler Avenue,Chalfont,Pennsylvania,18914,United States,1-215-822-8788,http://www.crabbylarrys.com/
407,445,47.9485,-122.305,Crooked River Brewing,,Cleveland,Ohio,,United States,,
416,456,39.9478,-75.2229,Dark Horse Brewing Co.,511 S. Kalamazoo Ave.,Marshall,Michigan,49068,United States,269-781-9940,http://www.darkhorsebrewery.com/
433,474,-45.0331,168.66099999999997,Devil Mountain Brewing,,Cincinnati,Ohio,,United States,,
436,477,38.7814,-76.2222,Diamondback Brewery,,Cleveland,Ohio,,United States,,
446,490,40.8911,-77.477,Dock Street Beer,701 S. 50th Street,West Philly,Pennsylvania,19143,United States,(215)-726-2337,http://www.dockstreetbeer.com
453,497,47.6688,-122.334,Dragonmead Microbrewery,14600 East Eleven Mile Road,Warren,Michigan,48089,United States,1-586-776-9428,
